Comment,Name,Associated with,Geometry,Nature of association,Description,Country,MAEASaM ID,Address,Name type,Resource created at,Start date,End date,Resource last modified at,Actor type,resourceid
,Mapping Africa's Endangered Archaeological Sites and Monuments,"Arcadia, Project funder",,Other,,,ACT-00000002,,Primary name,,2021,2029,,Project,8a125630-0e6e-407c-9c79-36c0693506f5
,Arcadia,,,,,,ACT-00000001,,Primary name,,,,,Project funder,0c7717aa-d8c8-4369-8f73-3a843d2ba85e
,Lamine Badji,"Laboratoire d Archeologie, National heritage body",,MAEASaM project member,,,ACT-00000070,,Primary name,,None,None,,MAEASaM project member,004c8b4b-2f6b-45a2-b43a-c127449e6de6
,Amanda Esterhuysen,"Origins Centre, Museum",None,Previous MAEASaM project member,Former project Co- Principal Investigator for Botswana,None,ACT-00000059,Yale Road and 1 Enoch Sontonga Ave Braamfontein Johannesburg 2000,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,05c7f49e-772f-40a5-b854-312c343b97c1
,Mamadou Thior,"Laboratoire d Archeologie, National heritage body",None,Previous MAEASaM project member,,None,ACT-00000035,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,05dca1dc-5fc7-4ba5-825b-8f202e2b1349
,Amy Leung,"University of Cambridge, University",,MAEASaM project member,,,ACT-00000066,,Primary name,,None,None,,MAEASaM project member,1cec663f-04ab-4f96-ad8c-232b5355aea9
,Serge Kiala,"Origins Centre, Museum",None,Previous MAEASaM project member,,None,ACT-00000058,Yale Road and 1 Enoch Sontonga Ave Braamfontein Johannesburg 2000,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,1fd5e38e-59b5-41df-adf5-3091bdbf9b4a
,Ibrahima Thiaw,"Laboratoire d Archeologie, National heritage body",None,MAEASaM project member,Project Co-Principal Investigator for Senegal,None,ACT-00000038,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,2093acf0-7d4d-4ca2-965b-6b9553a192a5
,Renier Hendrik van der Merwe,"University of Pretoria, University",None,MAEASaM project member,,None,ACT-00000056,"Lynnwood Rd, Hatfield, Pretoria, 0002",Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,27ee6f15-a4f2-43e7-b951-4f7a50aed84d
,Elias Michaut,"University of Cambridge, University",None,Previous MAEASaM project member,,None,ACT-00000045,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,33060045-72fe-4118-a60d-fa7c6527d322
,Nicolas Sagna,"Laboratoire d Archeologie, National heritage body",None,MAEASaM project member,,None,ACT-00000034,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,43ab5153-0de1-486e-aebf-19a9bde19a04
,Kevin C MacDonald,"University College London, University",None,MAEASaM project member,Project Co-Principal Investigator for Mali,None,ACT-00000040,Gower St London WC1E 6BT United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,47d00b06-11d4-4134-906a-1b2fcb4cc95a
,Hannah Nachtegaele,"Universite Libre De Bruxelles, University",,MAEASaM project member,,,ACT-00000068,,Primary name,,None,None,,MAEASaM project member,4ea54739-5f25-4d9b-82a6-6ce9941c02d0
,Nadia Khalaf,"University of Exeter, University",None,Previous MAEASaM project member,,None,ACT-00000044,Stocker Rd Exeter EX4 4PY United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,57d7e609-cc54-425f-94b3-d07cb2b790ab
,Faye Lander,"University of Pretoria, University",None,MAEASaM project member,,None,ACT-00000055,"Lynnwood Rd, Hatfield, Pretoria, 0002",Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,5fd346af-d1eb-481f-bd79-3d581485b7d9
,Angela Kabiru,"British Institute in Eastern Africa, Institution",None,MAEASaM project member,,None,ACT-00000047,Migori Road and Laikipia Rd Nairobi Kenya,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,64ae3360-8ce1-4b3e-b021-5a1f193f9eef
