Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
Zone,Primary name,Nuer,Level 2,,,,ADMIN-ETH-000000022,,d19ab461-fea8-4f30-bb29-fb94b153a6b5
Zone,Primary name,Majang,Level 2,,,,ADMIN-ETH-000000021,,82797294-22a2-414c-ad2d-2065dd6347be
Zone,Primary name,Agnuak,Level 2,,,,ADMIN-ETH-000000020,,62c20243-d2cf-4d93-9791-07beacd1ca50
Zone,Primary name,Kemashi,Level 2,,,,ADMIN-ETH-000000019,,eb98d93b-d5b0-44c9-8a17-00c99fea1a1a
Zone,Primary name,Special Woreda,Level 2,,,,ADMIN-ETH-000000018,,27659040-d7c4-46fd-bfeb-1b23d85b58ef
Zone,Primary name,South Wollo,Level 2,,,,ADMIN-ETH-000000017,,f136dadf-e8c5-4a56-a9c9-009637bba553
Zone,Primary name,North Gonder,Level 2,,,,ADMIN-ETH-000000016,,46c71330-c165-4aba-892e-59aadada2ec2
Zone,Primary name,No Name,Level 2,,,,ADMIN-ETH-000000015,,58685de0-91bd-4cff-aefb-153c413ec8b6
Zone,Primary name,Awi/Agew,Level 2,,,,ADMIN-ETH-000000014,,c13e63dc-4dd9-4480-a8e3-674fdd98db7b
Zone,Primary name,Region 14,Level 2,,,,ADMIN-ETH-000000013,,523f9701-a137-4014-bdb6-91f38f126afd
Region,Primary name,Tigray,Level 1,,,,ADMIN-ETH-000000012,,32a07fec-fbc3-4ebf-a9a5-d36950b43162
Zone,Primary name,North Shewa(R4),Level 2,,,,ADMIN-ETH-000000055,,156567b0-ae93-4a43-af84-7e01105bb5b1
Zone,Primary name,Jimma,Level 2,,,,ADMIN-ETH-000000054,,6cfbba09-a9cc-430e-9028-5ecba5e97f1e
Zone,Primary name,Guji,Level 2,,,,ADMIN-ETH-000000053,,b980fc30-574f-4c89-8ac0-d94848a9c893
Zone,Primary name,East Harerge,Level 2,,,,ADMIN-ETH-000000052,,0bb4e19a-4125-4433-b6bb-f879d50782a7
Zone,Primary name,Borena,Level 2,,,,ADMIN-ETH-000000051,,1962a028-e7c3-4116-91cd-159914c41167
Zone,Primary name,Hareri,Level 2,,,,ADMIN-ETH-000000050,,cca53f53-3776-403d-a768-9a089f0c8741
Zone,Primary name,Dire Dawa,Level 2,,,,ADMIN-ETH-000000049,,67d9cfee-73b0-4e8e-93eb-a72f3b772d0d
