Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Non-specified,Used for phases and/or events that took place during the 2nd millennium BC/BCE (1001-2000 BC/BCE).  ,2nd Millennium BCE,,2000,,BCE,,Primary name,,1001,'-2000,CHRN-00000029,"Africa, Primary name",,,,BCE,,'-1001,df4470c8-c9cb-4500-a00b-a0f81b225e86
Non-specified,Used for phases and/or events that took place during the 4th millennium BC/BCE (3001-4000 BC/BCE).  ,4th Millennium BCE,,4000,,BCE,,Primary name,,3001,'-4000,CHRN-00000071,"Africa, Primary name",,,,BCE,,'-3001,cac31308-bac0-470b-909a-6c91d27377ad
Non-specified,Used for phases and events dating to the 21st Century CE/AD (AD/CE 2001-2100).,Contemporary,,2001,,CE,,Primary name,,2100,2001,CHRN-00000086,"Africa, Primary name",,,,CE,,2100,a78b68ef-f431-4c1c-9ac4-9974eaa44822
Material culture,,Asian maritime trade,,,,,,Primary name,,,,CHRN-00000118,"Africa, Primary name",,, Historical Perspectives on Pastoralism and Land Tenure Transformation in Ngamiland Botswana: what are the Policy and Institutional Lessons,,,,6147eff4-1140-46c8-af69-c8f55b8465fe
Archaeological period,,Stone Age (West Africa),,,,,,Primary name,,,,CHRN-00000225,"West Africa, Primary name",,,,,,,86361c1b-d1fb-49f6-9f3e-f57cdee30c14
Archaeological period,,Stone Age (Gambia),,250,,,,Primary name,,Not reported,y-250000,CHRN-00000234,"Gambia, Primary name",,, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,ka BP,,None,ff0ed6d9-fe8a-4e41-bd40-1b157666084c
Material culture,The period is associated with the later Holocene spread of pastoralism (a way of life centred around the herding and management of livestock) throughout eastern Africa changing its socio-economic and natural landscapes.,Pastoral Neolithic (Eastern Africa),,3500,,BP,,Primary name,,1200,'-3500,CHRN-00000263,"Eastern Africa, Primary name",,, The Palaeolithic/Stone Age,BP,,1200,d6f561f1-dc5f-4180-bfdd-74b6e49e7bb1
Archaeological period,"The Mesolithic is a term used in Europe, and sometimes western Asia and northern Africa, to describe a variation in hunter-gatherer lifeways, and possibly some precursors to agriculture, occuring between the end of the Stone Age/Palaeolithic and the Neolithic. In Sudan, this term is generally used interchangeably with the 'Epipalaeolithic', a term normally applied to western Asia. (Usai 2014)",Mesolithic (Sudan),,9000,,BCE,"Within this database the terms containing 'Epipalaeolithic' are listed as synonyms. Although both terms (Mesolithic and Epipalaeolithic) originate outside of the region, and so are in many ways problematic, here both are used to describe sites from 9000BCE - 5000BCE",Primary name,,5000,'-9000,CHRN-00000280,"Sudan, Primary name",,, A Reconsideration of the West African Macrolithic Conundrum: New Factory Sites and an Associated Settlement in the Vallée Du Serpent Mali,BCE,,'-5000,11217f7d-5138-4ca8-bf3b-3c94af5d2df7
Archaeological period,"In Senegal, the Iron Age coincides with the period of invention and development of metallurgical techniques, between 2000 BC and 1600 AD. The period is also known for its regional diversity in the type of material culture identified. This has allowed archaeologists to divide the period according to the different site and material markers from megaliths, habitat sites, tumuli to shell mounds.",Iron Age (Senegal),,2000,,CE,,Primary name,,1600,'-2000,CHRN-00000368,"Senegal, Primary name",,, Prehistoric Timbuktu and its Hinterland | Antiquity | Cambridge Core,BCE,,1600,ca3f92d2-023b-4165-ae4d-345f66a5ccf4
Archaeological period,A broader term for the Bronze Age period within Upper Nubia generally defined by the Kerma culture and its precursor the Pre-Kerma. The Kerma (although possibly not the Pre-Kerma) is also defined as part of a broader Kingdom of Kush the first polity referred to as such but due to the discontinuity between this Kingdom and the later Kingdom of Kush centred around Napata and Meroe they have been defined separately here. 3500BCE - 1450 BCE.,Bronze Age (Upper Nubia),,,,,,Primary name,,,,CHRN-00000420,"Sudan, Primary name",,,,,,,ec4413a9-dea2-4fb9-8d33-d902860af78c
Polity,The kingdom of Kerma is a political entity which dominated Upper Nubia from ca. 2500 to 1500 BC. Its political centre is the city of Kerma which has extensive fortification and ritual buildings. Egypt conquers the kingdom of Kerma in the 18th dynasty after several campaigns. Around 1500 BC Kerma is destroyed and its burial ground is deserted.,Kingdom of Kerma,,2500,,BCE,,Primary name,,1500,'-2500,CHRN-00000425,"Sudan, Primary name",,,,BCE,,'-1500,307cf3a6-4a7f-4e60-91e5-ba3bbc522723
,,Medieval (Eastern Africa),,,,,,Primary name,,,,CHRN-00000438,"Eastern Africa, Primary name",,,,,,,f67e695b-99e9-4c8d-bcac-a8dc7e1f731e
,"The Aksumite Culture has a ceramic tradition which is widespread in central Tigray. It begins with an early phase which dates before the political unit which we know from written sources. The ceramic tradition of central Tigray (c. 1000 BC–AD 700) is represented by several sites around Yeha and Aksum (Michels 2005; Sernicola 2008). This region has been more extensively investigated and a reasonably solid cultural sequence has been outlined from the combined results of the stratigraphic sequence of the ceramics, radiocarbon dating of almost fifty charcoal samples, cross-dating on fragments of foreign vases and glass artefacts, and coins.",Aksumite culture,,400,,CE,,Primary name,,700,'-400,CHRN-00000451,"Ethiopia, Primary name",,,,BCE,,700,7479f784-fab5-486c-bb3e-1477d85a1c5b
Archaeological period,"Archaeology increasingly attests the complex and cosmopolitan nature of societies in medieval Ethiopia (c. seventh to early eighteenth centuries AD). Four religious traditions are relevant to this theme: Islam, Judaism. Christianity and Indigenous religions. Ethiopia's medieval archaeology is much less well known than the prehistory of the country.' (Insoll 2021)",Medieval (Ethiopia),,601,,CE,,Primary name,,1800,601,CHRN-00000464,"Ethiopia, Primary name",,, People and Palaeoclimate: Perspectives from the Diallowali Site System,CE,,1800,0f6b8dbd-ad5d-4e9c-92be-5529edf3e721
,"This period is the era of the last great Islamic Empires. The Ottoman Empire, which had started as a small Turkic state in Anatolia in the early fourteenth century, emerged in the second half of the fifteenth century as a major military and political force. The Ottomans conquered Constantinople in 1453 and the Mamluk Empire in 1517. They dominated much of Anatolia, the Balkans, the Near East and North Africa until the dissolution of the Ottoman Empire after World War I. The Safavids, who established Shia Islam as the dominant faith of Iran, ruled from 1501–1722 and were the greatest dynasty to emerge from Iran. The other great dynasty that oversaw a remarkable artistic and architectural output was the Mughals. Founded by Babur, the Mughals (c. 1526–1858) ruled over the largest Islamic state in the Indian subcontinent.'",Later Islamic period (Sudan),,,,,,Primary name,,,,CHRN-00000479,"Sudan, Primary name",,,,,,,5f4180e1-9557-4e93-a7b5-3281d4f6167b
