Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Mtongwe 1982: an Interim Report of the East and Northeast African Prehistory Research Project,,,,2024-05-19,,,,Shinshu University,,,,INFO-00000001,,https://ci.nii.ac.jp/author/DA00999075,,Book,Omi Guchi,,,,None,1984-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-19,,,7d22f8b9-801d-47dc-b0a7-81a35eb07b45
Archaeological Research in the Northern Lake Manyara Basin Tanzania 2003–2004,,,,2024-05-16,None,,,None,,None,,INFO-00000002,,http://www.tandfonline.com/doi/abs/10.1080/00672700609480434,,Journal article,Seitsonen Oula,,,None,Azania: Archaeological Research in Africa,2006-01-01,,1,None,English,,41-67,,,,41,None,None,None,None,None,,None,None,,10. 1080/00672700609480434,2024-05-16,,None,3de54a0e-bf22-4ba4-a32f-7c70d9cef89d
Fourteen Years of Archaeological and Heritage Research in the Iringa Region Tanzania,,,,2024-05-16,None,,,None,,None,,INFO-00000003,,https://link.springer.com/10.1007/s10437-020-09383-w,,Journal article,Miller J. M. ; Werner J. J. ; Biittner K. M. ; Willoughby P. R.,,,None,African Archaeological Review,2020-06-01,,2,None,English,,271-292,,,,37,None,None,None,None,None,,None,None,,10. 1007/s10437-020-09383-w,2024-05-16,,None,80de4d96-45d5-473b-bcbe-811a56005f2b
The Archaeology of Social Transformation in Rural Zanzibar Tanzania from the Eleventh through Nineteenth Centuries Ce,,,,2024-05-16,None,,,None,,None,,INFO-00000004,,https://link.springer.com/10.1007/s10437-023-09523-y,,Journal article,Alders Wolfgang,,,None,African Archaeological Review,2023-12-01,,4,None,English,,741-760,,,,40,None,None,None,None,None,,None,None,,10. 1007/s10437-023-09523-y,2024-05-16,,None,00c6e961-5aa9-41c1-a86d-e9b0442f3e9e
Tangible Heritage in Archaeology,,,,2024-05-15,None,,,Springer International Publishing,,None,,INFO-00000005,,https://doi.org/10.1007/978-1-4419-0465-2_1141,,Book section,Hassan Fekri,,,None,Encyclopedia of Global Archaeology,2014-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-15,,None,49023abe-97e4-4302-bc6b-d5cc9d7f6631
Iron Age Sites in Northern Botswanas Okavango Delta 2: the Xaro Sites in the Panhandle of the River-delta System,,,,2024-05-14,None,,,None,,None,,INFO-00000006,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2023.2182570,,Journal article,Wilmsen Edwin N. ; Denbow James,,,None,Azania: Archaeological Research in Africa,2023-01-02,,1,None,English,,74-103,,,,58,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2023. 2182570,2024-05-14,,None,496d9e6f-a7c1-4ea9-9ac6-7679f345631a
Iron Age Sites in Northern Botswanas Okavango Delta 1: the Southern Delta Sites Mat82 and Matlapaneng Plus Qogana on the Regions Eastern Margin,,,,2024-05-14,None,,,None,,None,,INFO-00000007,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2023.2182563,,Journal article,Denbow James ; Wilmsen Edwin N.,,,None,Azania: Archaeological Research in Africa,2023-01-02,,1,None,English,,34-73,,,,58,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2023. 2182563,2024-05-14,,None,89062ae5-4392-4b13-a6ad-b66c834c2108
Darfur Antiquities: Ii. Tōra Palaces in Turra at the North End o Jebel Marra,,,,2024-05-22,,,,None,,,,INFO-00000008,,https://www.jstor.org/stable/41716375,,Journal article,Arkell A. J.,,,,Sudan Notes and Records,1937-01-01,,1,,,,91-105,,,,20,,,,,None,,,,,None,2024-05-22,,,dcf82d87-c3fc-4416-85ff-2fd09d231c87
Encyclopedic Dictionary of Archaeology,,,,2024-05-21,None,,Https: //www. springer. com/tdm,Springer International Publishing,,None,,INFO-00000009,,https://link.springer.com/10.1007/978-3-030-58292-0,,Book,Kipfer Barbara Ann,,,None,None,2021-01-01,,None,None,English,,None,,,,None,None,None,None,None,978-3-030-58291-3 978-3-030-58292-0,,None,None,,None,2024-05-22,,None,eae7ffb6-7d7e-48f4-a121-d1e403a9ef47
Foraging Communities of the Murewa-mutoko Landscape an Archaeological Study of Human Behaviour during the Terminal Pleistocene and Holocene Epochs,,,,2024-05-22,None,,,University of Dar Es Salaam,,None,,INFO-00000010,,None,,Unpublished PhD thesis,Marufu Happinos,,,None,None,2012-05-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-22,,None,038a9535-ebca-452f-bec0-ebb02fc4f183
