Geometry,MAEASaM ID,Grid square,resourceid
"GEOMETRYCOLLECTION (POLYGON ((12.25 10.75, 12.5 10.75, 12.5 11, 12.25 11, 12.25 10.75)))",GRID-00010777,E12.4N10.9,309128ad-05c3-494a-b929-81d86214d0b8
"GEOMETRYCOLLECTION (POLYGON ((12.5 10.75, 12.75 10.75, 12.75 11, 12.5 11, 12.5 10.75)))",GRID-00010778,E12.6N10.9,6e81f499-6d9a-4e85-999f-991177b8ef42
"GEOMETRYCOLLECTION (POLYGON ((12.75 10.75, 13 10.75, 13 11, 12.75 11, 12.75 10.75)))",GRID-00010779,E12.9N10.9,0b1632c6-fdca-49de-ae5d-c2eeb3ebab6d
"GEOMETRYCOLLECTION (POLYGON ((13 10.75, 13.25 10.75, 13.25 11, 13 11, 13 10.75)))",GRID-00010780,E13.1N10.9,8eb24d52-f982-42a2-a00c-96eec113cb30
"GEOMETRYCOLLECTION (POLYGON ((13.25 10.75, 13.5 10.75, 13.5 11, 13.25 11, 13.25 10.75)))",GRID-00010781,E13.4N10.9,6120d16d-9266-458d-a814-17d70aea5287
"GEOMETRYCOLLECTION (POLYGON ((13.5 10.75, 13.75 10.75, 13.75 11, 13.5 11, 13.5 10.75)))",GRID-00010782,E13.6N10.9,64037693-f27a-4fbc-b128-d29e12d78062
"GEOMETRYCOLLECTION (POLYGON ((22.75 10.75, 23 10.75, 23 11, 22.75 11, 22.75 10.75)))",GRID-00010783,E22.9N10.9,e9a26e33-d2bb-45c9-91f1-2fa4ffbe067f
"GEOMETRYCOLLECTION (POLYGON ((23 10.75, 23.25 10.75, 23.25 11, 23 11, 23 10.75)))",GRID-00010784,E23.1N10.9,a4356e2a-b9ee-4a94-b3a8-0ca94d106968
"GEOMETRYCOLLECTION (POLYGON ((23.25 10.75, 23.5 10.75, 23.5 11, 23.25 11, 23.25 10.75)))",GRID-00010785,E23.4N10.9,acfd607e-5de9-40f5-9c8d-ac7a8ca38e4f
"GEOMETRYCOLLECTION (POLYGON ((23.5 10.75, 23.75 10.75, 23.75 11, 23.5 11, 23.5 10.75)))",GRID-00010786,E23.6N10.9,bcfcd855-c182-4c9d-abf3-ec837e815867
"GEOMETRYCOLLECTION (POLYGON ((23.75 10.75, 24 10.75, 24 11, 23.75 11, 23.75 10.75)))",GRID-00010787,E23.9N10.9,79204abf-6654-420a-b98c-df9a57b626a2
"GEOMETRYCOLLECTION (POLYGON ((24 10.75, 24.25 10.75, 24.25 11, 24 11, 24 10.75)))",GRID-00010788,E24.1N10.9,89c32af0-d703-4ed7-8749-07b581a2b768
"GEOMETRYCOLLECTION (POLYGON ((24.25 10.75, 24.5 10.75, 24.5 11, 24.25 11, 24.25 10.75)))",GRID-00010789,E24.4N10.9,b07866c6-2cab-4b1f-ab35-64230b393d0a
"GEOMETRYCOLLECTION (POLYGON ((24.5 10.75, 24.75 10.75, 24.75 11, 24.5 11, 24.5 10.75)))",GRID-00010790,E24.6N10.9,6f3f9830-2b04-4cea-8132-631aa54df53b
"GEOMETRYCOLLECTION (POLYGON ((24.75 10.75, 25 10.75, 25 11, 24.75 11, 24.75 10.75)))",GRID-00010791,E24.9N10.9,692678dc-4111-4d85-a2f6-e8c574f7164e
"GEOMETRYCOLLECTION (POLYGON ((25 10.75, 25.25 10.75, 25.25 11, 25 11, 25 10.75)))",GRID-00010792,E25.1N10.9,950e7501-96f3-4499-bb56-b47c71bc36ea
"GEOMETRYCOLLECTION (POLYGON ((25.25 10.75, 25.5 10.75, 25.5 11, 25.25 11, 25.25 10.75)))",GRID-00010793,E25.4N10.9,f9f9dec3-0b2b-4819-a1b9-431466bfb16b
"GEOMETRYCOLLECTION (POLYGON ((25.5 10.75, 25.75 10.75, 25.75 11, 25.5 11, 25.5 10.75)))",GRID-00010794,E25.6N10.9,3db162ef-84f1-4cf0-a723-9e528d20b510
"GEOMETRYCOLLECTION (POLYGON ((25.75 10.75, 26 10.75, 26 11, 25.75 11, 25.75 10.75)))",GRID-00010795,E25.9N10.9,22796f18-b5d2-4e14-a99f-5b262d799045
"GEOMETRYCOLLECTION (POLYGON ((26 10.75, 26.25 10.75, 26.25 11, 26 11, 26 10.75)))",GRID-00010796,E26.1N10.9,5e2ca396-7c37-402d-817a-664f235f990c
"GEOMETRYCOLLECTION (POLYGON ((26.25 10.75, 26.5 10.75, 26.5 11, 26.25 11, 26.25 10.75)))",GRID-00010797,E26.4N10.9,25132e14-c194-467b-bf46-8bf8c1759c84
"GEOMETRYCOLLECTION (POLYGON ((26.5 10.75, 26.75 10.75, 26.75 11, 26.5 11, 26.5 10.75)))",GRID-00010798,E26.6N10.9,4425ba5b-b2cb-4bed-9928-fe2409e52ba8
"GEOMETRYCOLLECTION (POLYGON ((26.75 10.75, 27 10.75, 27 11, 26.75 11, 26.75 10.75)))",GRID-00010799,E26.9N10.9,86d58c37-1bdc-47f0-b307-f7cb9398a8e8
"GEOMETRYCOLLECTION (POLYGON ((27 10.75, 27.25 10.75, 27.25 11, 27 11, 27 10.75)))",GRID-00010800,E27.1N10.9,e3465c21-4269-4d0a-93d8-49e582b2b165
"GEOMETRYCOLLECTION (POLYGON ((27.25 10.75, 27.5 10.75, 27.5 11, 27.25 11, 27.25 10.75)))",GRID-00010801,E27.4N10.9,480c49ed-d41f-4038-ab73-940ff01c29fb
"GEOMETRYCOLLECTION (POLYGON ((27.5 10.75, 27.75 10.75, 27.75 11, 27.5 11, 27.5 10.75)))",GRID-00010802,E27.6N10.9,53988f58-363f-48db-834c-7e94182f5b00
"GEOMETRYCOLLECTION (POLYGON ((27.75 10.75, 28 10.75, 28 11, 27.75 11, 27.75 10.75)))",GRID-00010803,E27.9N10.9,fbe5abfc-dfed-47e0-baf5-6fc9e07c6200
"GEOMETRYCOLLECTION (POLYGON ((28 10.75, 28.25 10.75, 28.25 11, 28 11, 28 10.75)))",GRID-00010804,E28.1N10.9,11b61653-81ff-4b33-b013-6be1a3a5821d
"GEOMETRYCOLLECTION (POLYGON ((28.25 10.75, 28.5 10.75, 28.5 11, 28.25 11, 28.25 10.75)))",GRID-00010805,E28.4N10.9,f63b99c3-ae89-4cb7-9ced-a1ec7177c9ca
"GEOMETRYCOLLECTION (POLYGON ((28.5 10.75, 28.75 10.75, 28.75 11, 28.5 11, 28.5 10.75)))",GRID-00010806,E28.6N10.9,c7f541b6-fed0-4a63-b0c9-7d8747cd74a0
"GEOMETRYCOLLECTION (POLYGON ((28.75 10.75, 29 10.75, 29 11, 28.75 11, 28.75 10.75)))",GRID-00010807,E28.9N10.9,a3b42f92-1a69-46bd-9c81-a2b0491336bb
"GEOMETRYCOLLECTION (POLYGON ((29 10.75, 29.25 10.75, 29.25 11, 29 11, 29 10.75)))",GRID-00010808,E29.1N10.9,d48833fc-1dd2-44b9-b692-022f28397a4d
"GEOMETRYCOLLECTION (POLYGON ((29.25 10.75, 29.5 10.75, 29.5 11, 29.25 11, 29.25 10.75)))",GRID-00010809,E29.4N10.9,5812ac2e-f65a-4e8b-88f5-8ab622f2e4e4
"GEOMETRYCOLLECTION (POLYGON ((29.5 10.75, 29.75 10.75, 29.75 11, 29.5 11, 29.5 10.75)))",GRID-00010810,E29.6N10.9,3ccb6a33-fe01-4e08-984e-4d71a0e3d4cf
"GEOMETRYCOLLECTION (POLYGON ((29.75 10.75, 30 10.75, 30 11, 29.75 11, 29.75 10.75)))",GRID-00010811,E29.9N10.9,d0be7fd2-d01a-4749-a200-619408082a67
"GEOMETRYCOLLECTION (POLYGON ((30 10.75, 30.25 10.75, 30.25 11, 30 11, 30 10.75)))",GRID-00010812,E30.1N10.9,46e756c8-4ceb-40ce-bce7-bcc5cf51b39c
"GEOMETRYCOLLECTION (POLYGON ((30.25 10.75, 30.5 10.75, 30.5 11, 30.25 11, 30.25 10.75)))",GRID-00010813,E30.4N10.9,e650adae-439c-43b7-9aca-1acc4e70811c
"GEOMETRYCOLLECTION (POLYGON ((30.5 10.75, 30.75 10.75, 30.75 11, 30.5 11, 30.5 10.75)))",GRID-00010814,E30.6N10.9,aff08787-eae6-4281-bea8-8330bf1bf605
"GEOMETRYCOLLECTION (POLYGON ((30.75 10.75, 31 10.75, 31 11, 30.75 11, 30.75 10.75)))",GRID-00010815,E30.9N10.9,d7adbb10-8856-46a3-83cc-2b46906d61e1
"GEOMETRYCOLLECTION (POLYGON ((31 10.75, 31.25 10.75, 31.25 11, 31 11, 31 10.75)))",GRID-00010816,E31.1N10.9,448c61a6-8d20-49d6-96b2-3b563f2101e8
"GEOMETRYCOLLECTION (POLYGON ((31.25 10.75, 31.5 10.75, 31.5 11, 31.25 11, 31.25 10.75)))",GRID-00010817,E31.4N10.9,043b357d-f162-401f-adf2-85683fc7a467
"GEOMETRYCOLLECTION (POLYGON ((31.5 10.75, 31.75 10.75, 31.75 11, 31.5 11, 31.5 10.75)))",GRID-00010818,E31.6N10.9,092c6a8f-ba57-4216-bc6a-e403e47c26f1
"GEOMETRYCOLLECTION (POLYGON ((31.75 10.75, 32 10.75, 32 11, 31.75 11, 31.75 10.75)))",GRID-00010819,E31.9N10.9,e9015c0c-abf4-4003-b407-66f332864f04
"GEOMETRYCOLLECTION (POLYGON ((32 10.75, 32.25 10.75, 32.25 11, 32 11, 32 10.75)))",GRID-00010820,E32.1N10.9,90a54ab9-27b3-429b-a69a-0420c753deba
"GEOMETRYCOLLECTION (POLYGON ((32.25 10.75, 32.5 10.75, 32.5 11, 32.25 11, 32.25 10.75)))",GRID-00010821,E32.4N10.9,859c84ed-6919-4bc8-ab35-800c7dc135d3
"GEOMETRYCOLLECTION (POLYGON ((33 10.75, 33.25 10.75, 33.25 11, 33 11, 33 10.75)))",GRID-00010822,E33.1N10.9,1a078c3b-e27e-477e-8f86-bef4d4133c2a
"GEOMETRYCOLLECTION (POLYGON ((33.25 10.75, 33.5 10.75, 33.5 11, 33.25 11, 33.25 10.75)))",GRID-00010823,E33.4N10.9,fa75ad5c-9631-4806-81ca-33f3f328e850
"GEOMETRYCOLLECTION (POLYGON ((33.5 10.75, 33.75 10.75, 33.75 11, 33.5 11, 33.5 10.75)))",GRID-00010824,E33.6N10.9,3ef7d753-2561-40fe-aaa4-3a48ac23d02c
"GEOMETRYCOLLECTION (POLYGON ((33.75 10.75, 34 10.75, 34 11, 33.75 11, 33.75 10.75)))",GRID-00010825,E33.9N10.9,9760dbf5-38ea-4535-abce-4d51697a9091
"GEOMETRYCOLLECTION (POLYGON ((34 10.75, 34.25 10.75, 34.25 11, 34 11, 34 10.75)))",GRID-00010826,E34.1N10.9,a2c7cecd-d656-4f0f-a1d7-df68e4a39e3f
"GEOMETRYCOLLECTION (POLYGON ((34.25 10.75, 34.5 10.75, 34.5 11, 34.25 11, 34.25 10.75)))",GRID-00010827,E34.4N10.9,fba3a4e7-877d-4f78-8bc0-ba45f86ba656
"GEOMETRYCOLLECTION (POLYGON ((34.5 10.75, 34.75 10.75, 34.75 11, 34.5 11, 34.5 10.75)))",GRID-00010828,E34.6N10.9,f2a106f7-b16e-4753-9664-675ff7798cbe
"GEOMETRYCOLLECTION (POLYGON ((34.75 10.75, 35 10.75, 35 11, 34.75 11, 34.75 10.75)))",GRID-00010829,E34.9N10.9,90dd6d1f-193b-46d5-8e37-633439bf607e
